Fecha,Vol. Futuros,typeLSTM,LSTM,typeRandomForest,RandomForest,typeXGBoost,XGBoost,typeELM,ELM
2020-01-01,1.2899457760904345,,,,,,,,
2020-01-02,0.7350455366085377,,,,,,,,
2020-01-03,0.5918344361205096,,,,,,,,
2020-01-04,1.367154258393283,,,train,1.1509603555481311,,,,
2020-01-05,1.505321285893915,,,train,1.2758786961235904,,,,
2020-01-06,0.5081280687581757,,,train,0.6664741098276343,,,,
2020-01-07,0.2044572374476228,,,train,0.575340234614646,,,,
2020-01-08,2.69111665334746,,,train,1.9215838960870533,train,1.5008314,,
2020-01-09,1.5222281247718752,,,train,1.8213554533693848,train,1.6716777,,
2020-01-10,1.3542314451934303,,,train,1.1076026165451889,train,1.5041318,,
2020-01-11,0.4681859701626271,train,1.1178076,train,0.6531796541252806,train,1.5008314,,
2020-01-12,1.9493140031636056,train,1.0168622,train,1.3706925775518155,train,1.5008314,,
2020-01-13,1.3516828116199882,train,1.0887014,train,1.3195174766756734,train,1.5008314,,
2020-01-14,0.3050775955205447,train,1.0661664,train,0.5434945819731883,train,1.3434062,,
2020-01-15,0.5235614053945052,train,0.95820576,train,0.7625920406941269,train,1.5008314,,
2020-01-16,1.1881327886752675,train,0.9095283,train,1.028428477844558,train,1.5008314,train,1.374942269785141
2020-01-17,0.7107981947794908,train,0.9061494,train,0.927371356489075,train,1.3434062,train,1.070452021320683
2020-01-18,0.2995874402042159,train,0.85909945,train,0.4948399283587226,train,1.4645094,train,1.183152535531197
2020-01-19,0.1299080621834803,train,0.8773948,train,0.5411947061392954,train,1.5008314,train,1.1149850657146736
2020-01-20,0.1611754499106269,train,0.8632698,train,0.72812247874146,train,1.3434062,train,0.9103409987263936
2020-01-21,0.3950001102797744,train,0.85657084,train,0.5100584792543588,train,1.4645094,train,0.9616022796024816
2020-01-22,0.0450349028102233,train,0.8524288,train,0.3165097127647018,train,1.4645094,train,0.892833731449244
2020-01-23,1.4311514393255726,train,0.8817504,train,1.2171005083444515,train,1.4645094,train,0.969504146102062
2020-01-24,2.1998642457237776,train,0.9519498,train,1.843357105466268,train,1.4645094,train,1.1779144241368806
2020-01-25,1.904046571174338,train,1.1406788,train,1.773732005415482,train,1.7577826,train,1.2732728055438804
2020-01-26,0.797569047456087,train,1.3218417,train,1.0108037910877588,train,1.5008314,train,1.3371439685341038
2020-01-27,0.5743405330303827,train,1.3043504,train,0.9250201542992192,train,1.5008314,train,1.1834821176325765
2020-01-28,1.4647084440734763,train,1.2210125,train,1.477308700769535,train,1.5008314,train,1.034896834771626
2020-01-29,2.897353803515561,train,1.2147012,train,2.2662550584340924,train,1.3434062,train,1.201575642097043
2020-01-30,0.5404090774011734,train,1.4414414,train,1.4276206250903551,train,1.7577826,train,1.565142306540589
2020-01-31,1.1266344983100531,train,1.1988442,train,1.2768832235357923,train,1.5041318,train,1.1641151941641483
2020-02-01,0.949190543424825,train,1.1380658,train,1.1079557814062175,train,1.5008314,train,1.6306815817895637
2020-02-02,2.2841217784914933,train,1.0579984,train,1.7352806425324083,train,1.3434062,train,1.2119837988521711
2020-02-03,1.5045470709314714,train,1.220916,train,1.6666840506925606,train,1.7577826,train,1.434486099214887
2020-02-04,0.2550371186005288,train,1.2844695,train,0.6481956283756142,train,1.3434062,train,1.3310465606553172
2020-02-05,0.4083721856994941,train,1.0907702,train,0.7709937601965047,train,1.5008314,train,1.2092180363706104
2020-02-06,0.4083721856995077,train,1.0021168,train,0.6073683751813659,train,1.5008314,train,1.419627356004889
2020-02-07,0.2035624112597794,train,0.9599324,train,0.4259284209338035,train,1.3434062,train,0.8912351067812919
2020-02-08,0.4964518092232793,train,0.92496926,train,0.5013981044010658,train,1.4645094,train,1.0549557608125897
2020-02-09,0.7667193305619916,train,1.079885,train,0.906984417827414,train,1.4645094,train,1.012621825792127
2020-02-10,0.7001438734968917,train,1.0943234,train,0.8587281310202378,train,1.4645094,train,1.0605166400822672
2020-02-11,0.1992032531240576,train,1.1334442,train,0.4937564980564508,train,1.4645094,train,1.227249898715388
2020-02-12,0.1491424586670119,train,1.1601611,train,0.4556180902822511,train,1.4645094,train,0.8982612035874201
2020-02-13,3.7059335916774248,train,1.1448328,train,2.506281406225747,train,1.4645094,train,1.0729777085592125
2020-02-14,4.35564048364502,train,1.5523956,train,3.7124103270528326,train,3.113004,train,1.7163001739594843
2020-02-15,1.1724009371212356,train,2.0936623,train,1.397780121543966,train,1.6268785,train,1.7109344531376922
2020-02-16,1.2240897412521297,train,1.8740604,train,1.5803783886732414,train,1.5041318,train,1.331152146669954
2020-02-17,1.8066111016514084,train,1.7140654,train,1.7105074182752726,train,1.669687,train,1.670589112255703
2020-02-18,0.5067535236575924,train,1.751468,train,0.874301307450655,train,1.5008314,train,1.208096354470548
2020-02-19,0.2343567981468269,train,1.4369321,train,0.6359068011124848,train,1.5008314,train,1.0667521217389275
2020-02-20,3.0420596700711853,train,1.2376541,train,2.369508585347927,train,1.5008314,train,1.4491499241983856
2020-02-21,4.943345785517375,train,1.4493803,train,4.1360422862776485,train,2.7379322,train,2.108140443003319
2020-02-22,1.571832626950776,train,2.0236723,train,2.074585314809532,train,1.8314509,train,2.299978391719551
2020-02-23,2.24620381678938,train,1.6311549,train,1.8677207635042263,train,1.5041318,train,1.491020704133244
2020-02-24,2.073182317480946,train,1.6657275,train,1.8478739363720864,train,1.7577826,train,2.082262642336313
2020-02-25,1.1267724846342289,train,1.7678024,train,1.1965789864933638,train,1.5333294,train,1.338409604863626
2020-02-26,1.8501915385321988,train,1.4537177,train,1.567656179930829,train,1.771612,train,1.0907846652617323
2020-02-27,0.8283526426643875,train,1.4242241,train,1.0826560989079024,train,1.5008314,train,1.9969414126146925
2020-02-28,1.7407677316253023,train,1.5068666,train,1.685486409093632,train,1.5008314,train,1.6862126479399593
2020-02-29,0.4069836621173391,train,1.6848397,train,0.9130599791153148,train,1.5008314,train,1.875915951731315
2020-03-01,0.2639822201410393,train,1.7244552,train,0.7364350545165655,train,1.3434062,train,1.2043758597691243
2020-03-02,3.3785306752695474,train,2.153485,train,2.915623211246349,train,2.1638925,train,1.740703497377453
2020-03-03,5.431967408015392,train,2.8670044,train,4.825601852633966,train,3.6336048,train,2.1818700586606434
2020-03-04,3.274851843026279,train,3.6541374,train,2.98662874495351,train,2.5036798,train,1.981650846461028
2020-03-05,6.43393661231856,train,3.4718206,train,4.541414657291822,train,3.8728802,train,2.654077179937877
2020-03-06,3.945742755845812,train,3.6566997,train,4.038074753088572,train,2.8435888,train,3.26815882581446
2020-03-07,1.7091587710159044,train,2.9901154,train,2.677465874632836,train,1.8565323,train,2.141090175442498
2020-03-08,0.8233164760327127,train,2.4476428,train,1.4623130495042775,train,1.4588002,train,2.039190810811712
