Fecha,Vol. Futuros,typeLSTM,LSTM,typeRandomForest_x,RandomForest,typeRandomForest_y,RandomForest.1,typeXGBoost,XGBoost,typeELM,ELM
2020-01-01,1.289945776,,,,,,,,,,
2020-01-02,0.735045537,,,,,,,,,,
2020-01-03,0.591834436,,,,,,,,,,
2020-01-04,1.367154258,,,,,,,,,,
2020-01-05,1.505321286,,,,,,,,,,
2020-01-06,0.508128069,,,,,,,train,1.5276543,,
2020-01-07,0.204457237,,,,,,,train,1.6099132,,
2020-01-08,2.691116653,,,,,,,train,1.6099132,train,1.2338625
2020-01-09,1.522228125,,,,,train,1.771430588,train,1.6030552,train,1.554792336
2020-01-10,1.354231445,,,,,train,1.323085842,train,1.7298347,train,1.015316031
2020-01-11,0.46818597,train,1.0312301,,,train,0.65022821,train,1.6099132,train,1.56700408
2020-01-12,1.949314003,train,1.0353417,,,train,1.421350351,train,1.6099132,train,1.241474227
2020-01-13,1.351682812,train,1.0052357,,,train,1.242093677,train,1.6099132,train,1.647290082
2020-01-14,0.305077596,train,1.0227733,,,train,0.539776329,train,1.5276543,train,1.370758996
2020-01-15,0.523561405,train,1.0641137,,,train,0.722494293,train,1.6099132,train,1.336113261
2020-01-16,1.188132789,train,1.075822,train,1.116610136,train,1.142926536,train,1.6099132,train,1.241722818
2020-01-17,0.710798195,train,1.0733455,train,0.744022437,train,0.858102013,train,1.5276543,train,1.155815407
2020-01-18,0.29958744,train,1.0775983,train,0.446984525,train,0.477762539,train,1.5276543,train,1.071856917
2020-01-19,0.129908062,train,1.1118834,train,0.435659444,train,0.460015658,train,1.6099132,train,1.19256309
2020-01-20,0.16117545,train,1.0770452,train,0.453703728,train,0.419529675,train,1.5276543,train,1.127817431
2020-01-21,0.39500011,train,1.0931848,train,0.579481923,train,0.614531943,train,1.5276543,train,1.100615649
2020-01-22,0.045034903,train,1.1091411,train,0.486267542,train,0.307100579,train,1.5276543,train,1.169472154
2020-01-23,1.431151439,train,1.1854354,train,1.28559906,train,1.344939627,train,1.5276543,train,0.999892801
2020-01-24,2.199864246,train,1.2143563,train,1.84666612,train,1.807407393,train,1.5276543,train,1.309830648
2020-01-25,1.904046571,train,1.3249611,train,1.67541445,train,1.631978382,train,1.7261105,train,1.261859527
2020-01-26,0.797569047,train,1.3672343,train,1.051617194,train,1.028088696,train,1.6099132,train,1.507922662
2020-01-27,0.574340533,train,1.351415,train,0.893614492,train,0.877068161,train,1.6099132,train,1.419593642
2020-01-28,1.464708444,train,1.3511282,train,1.38386052,train,1.358496912,train,1.6099132,train,1.406911737
2020-01-29,2.897353804,train,1.3009455,train,2.296713214,train,2.346543942,train,1.5276543,train,1.432262314
2020-01-30,0.540409077,train,1.3618687,train,1.250667167,train,0.820556773,train,1.7261105,train,1.641138828
2020-01-31,1.126634498,train,1.2823738,train,1.186035983,train,1.151171404,train,1.7298347,train,1.212587793
2020-02-01,0.949190543,train,1.2125849,train,1.107621552,train,1.182246624,train,1.6099132,train,1.691370146
2020-02-02,2.284121778,train,1.0992323,train,1.753330843,train,1.601083641,train,1.5276543,train,1.620280096
2020-02-03,1.504547071,train,1.0874497,train,1.471933121,train,1.460652761,train,1.6030552,train,1.646727357
2020-02-04,0.255037119,train,1.0685692,train,0.532477408,train,0.623591791,train,1.5276543,train,1.640931072
2020-02-05,0.408372186,train,1.0515676,train,0.807984503,train,0.681609056,train,1.6099132,train,1.566502469
2020-02-06,0.408372186,train,1.0634283,train,0.816921372,train,0.586660406,train,1.6099132,train,1.536504305
2020-02-07,0.203562411,train,1.0530306,train,0.390779005,train,0.348969304,train,1.5276543,train,1.188282976
2020-02-08,0.496451809,train,1.0297632,train,0.574728721,train,0.571988498,train,1.5276543,train,1.28562724
2020-02-09,0.766719331,train,1.1448451,train,0.923805993,train,0.809534375,train,1.5276543,train,1.259234046
2020-02-10,0.700143873,train,1.1424443,train,0.72917142,train,0.727416976,train,1.5276543,train,1.242278392
2020-02-11,0.199203253,train,1.1709062,train,0.632389704,train,0.549604544,train,1.5276543,train,1.220519887
2020-02-12,0.149142459,train,1.2096869,train,0.363110407,train,0.465975134,train,1.5276543,train,1.234137967
2020-02-13,3.705933592,train,1.2542723,train,2.44607924,train,2.548229102,train,1.5276543,train,1.125951564
2020-02-14,4.355640484,train,1.3927482,train,3.301590056,train,3.397948843,train,2.7947228,train,1.915693244
