Fecha,Vol. Futuros,typeLSTM,LSTM,typeRandomForest,RandomForest,typeXGBoost,XGBoost,typeELM,ELM
2020-01-01,1.2899457760904345,,,,,,,,
2020-01-02,0.7350455366085377,,,,,,,,
2020-01-03,0.5918344361205096,,,,,,,,
2020-01-04,1.367154258393283,,,,,train,1.7933295,,
2020-01-05,1.505321285893915,,,,,train,1.7933295,,
2020-01-06,0.5081280687581757,,,,,train,1.7933295,,
2020-01-07,0.2044572374476228,,,,,train,1.7933295,,
2020-01-08,2.69111665334746,,,,,train,1.7933295,,
2020-01-09,1.5222281247718752,,,,,train,2.2770402,,
2020-01-10,1.3542314451934303,,,,,train,1.7933295,,
2020-01-11,0.4681859701626271,train,0.43577546,,,train,1.7933295,train,1.1126924279602337
2020-01-12,1.9493140031636056,train,0.3095085,,,train,1.7933295,train,0.9592589596316848
2020-01-13,1.3516828116199882,train,0.4601968,,,train,1.7933295,train,1.150616128878054
2020-01-14,0.3050775955205447,train,0.5001623,,,train,1.7933295,train,0.8735491223944086
2020-01-15,0.5235614053945052,train,0.41586155,,,train,1.7933295,train,0.8586814025498511
2020-01-16,1.1881327886752675,train,0.45718318,train,1.1291154030996322,train,1.7933295,train,1.1463710435569587
2020-01-17,0.7107981947794908,train,0.54869777,train,0.7744176182990654,train,1.7933295,train,0.7414405431314453
2020-01-18,0.2995874402042159,train,0.55665284,train,0.4504993994116184,train,1.7933295,train,0.8399436157599663
2020-01-19,0.1299080621834803,train,0.5581714,train,0.4173612861017368,train,1.7933295,train,0.854461339785631
2020-01-20,0.1611754499106269,train,0.6339063,train,0.3639317042352337,train,1.7933295,train,1.02551076511067
2020-01-21,0.3950001102797744,train,0.80410546,train,0.5990876405428007,train,1.7933295,train,0.8301914030635739
2020-01-22,0.0450349028102233,train,0.9025491,train,0.4804853490859236,train,1.7933295,train,0.8828808618775499
2020-01-23,1.4311514393255726,train,1.1276724,train,1.2435022440837864,train,1.7933295,train,0.8181206751336116
2020-01-24,2.1998642457237776,train,1.5165725,train,1.7293606638159522,train,1.7933295,train,1.171783010284761
2020-01-25,1.904046571174338,train,1.6385471,train,1.8248712006904624,train,1.7933295,train,1.0285111077019513
2020-01-26,0.797569047456087,train,1.6604303,train,0.950885438765521,train,1.7933295,train,1.18661262731896
2020-01-27,0.5743405330303827,train,1.6382347,train,0.8708322917447766,train,1.7933295,train,1.0836798623710002
2020-01-28,1.4647084440734763,train,1.5860755,train,1.4414315987880175,train,1.7010586,train,0.9512118632208189
2020-01-29,2.897353803515561,train,1.5071309,train,2.270320812208184,train,1.7933295,train,1.098197515406371
2020-01-30,0.5404090774011734,train,1.5241303,train,1.1206559148497768,train,1.8525201,train,1.192683277592146
2020-01-31,1.1266344983100531,train,1.2070386,train,1.1852513817259969,train,1.7933295,train,1.0059188403795505
2020-02-01,0.949190543424825,train,1.1384902,train,1.0851939847117655,train,1.7933295,train,1.4350665690514948
2020-02-02,2.2841217784914933,train,1.0014304,train,1.8459669432181791,train,1.7933295,train,1.3855655958831825
2020-02-03,1.5045470709314714,train,1.0888568,train,1.5337737447334103,train,1.8525201,train,1.1072326868563618
2020-02-04,0.2550371186005288,train,0.987383,train,0.5124511437288813,train,1.7010586,train,1.1180439743454251
2020-02-05,0.4083721856994941,train,0.8281301,train,0.6455729240191396,train,1.7933295,train,1.1360932613941288
2020-02-06,0.4083721856995077,train,0.80837905,train,0.8904531447410526,train,1.7010586,train,1.4063739491275549
2020-02-07,0.2035624112597794,train,0.7498149,train,0.3399991363058001,train,1.7010586,train,0.7048062716107816
2020-02-08,0.4964518092232793,train,0.6343589,train,0.6175933967459823,train,1.7010586,train,0.9210229166851268
2020-02-09,0.7667193305619916,train,0.69026077,train,0.9380692809910942,train,1.7933295,train,0.9495695760684736
2020-02-10,0.7001438734968917,train,0.664165,train,0.7683922692958325,train,1.7933295,train,1.1997800792801
2020-02-11,0.1992032531240576,train,0.7518136,train,0.469425896211422,train,1.7933295,train,0.9270640338778996
2020-02-12,0.1491424586670119,train,0.94461226,train,0.6024194983584253,train,1.7010586,train,0.9546046175358645
2020-02-13,3.7059335916774248,train,1.4951609,train,2.5690257175746027,train,1.7933295,train,0.993940239902516
2020-02-14,4.35564048364502,train,2.1107883,train,3.5247703535157022,train,2.3561294,train,1.7432420248408986
2020-02-15,1.1724009371212356,train,1.9214398,train,1.6321010653289971,train,1.8468434,train,1.4300971076761115
2020-02-16,1.2240897412521297,train,1.6145265,train,1.279001591280417,train,1.7933295,train,1.1015760551851057
2020-02-17,1.8066111016514084,train,1.5953484,train,1.6062297004701014,train,1.7933295,train,1.495040868919476
2020-02-18,0.5067535236575924,train,1.6247647,train,0.8924001699290649,train,1.7010586,train,1.2732827867304557
2020-02-19,0.2343567981468269,train,1.4140706,train,0.7061908085928283,train,1.7933295,train,0.8685825718686042
2020-02-20,3.0420596700711853,train,1.3834422,train,2.4463673965171,train,1.7010586,train,1.0336191704139437
2020-02-21,4.943345785517375,train,1.6118324,train,3.938886024310719,train,2.2770402,train,1.695998194109946
2020-02-22,1.571832626950776,train,1.6857898,train,2.058043774554882,train,1.8468434,train,1.83802131977061
2020-02-23,2.24620381678938,train,1.3743485,train,1.7562676949072775,train,1.7933295,train,1.3674506967943532
2020-02-24,2.073182317480946,train,1.411253,train,1.9859808665160177,train,1.8525201,train,1.829488585508611
2020-02-25,1.1267724846342289,train,1.3245488,train,1.305424853751871,train,1.7933295,train,1.4669953030391365
2020-02-26,1.8501915385321988,train,1.0822845,train,1.5548342487606386,train,1.7933295,train,1.0529099407764588
2020-02-27,0.8283526426643875,train,1.1419983,train,0.9869450251915516,train,1.7933295,train,1.4406017559176372
2020-02-28,1.7407677316253023,train,0.76961994,train,1.548957398296454,train,1.7933295,train,1.4064197901644635
2020-02-29,0.4069836621173391,train,0.6121762,train,0.81527078367337,train,1.7933295,train,2.0039593498188224
2020-03-01,0.2639822201410393,train,0.87417805,train,0.6503004299318307,train,1.7010586,train,1.9590475895589607
2020-03-02,3.3785306752695474,train,2.671157,train,2.539872687751742,train,1.7933295,train,2.511932562024953
2020-03-03,5.431967408015392,train,4.9277544,train,4.3338732079724975,train,3.2915335,train,3.28460976927947
2020-03-04,3.274851843026279,train,5.1174397,train,3.0936597067101133,train,2.1799753,train,3.389289099350244
2020-03-05,6.43393661231856,train,4.9597306,train,4.841973471902001,train,2.7333183,train,3.8255802079806713
2020-03-06,3.945742755845812,train,3.4580438,train,3.754837303759967,train,2.7333183,train,3.8061577049131072
2020-03-07,1.7091587710159044,train,2.091581,train,1.9755759816368708,train,1.9451212,train,2.443095978373435
2020-03-08,0.8233164760327127,train,1.953899,train,1.119943668464498,train,1.7010586,train,2.399190849286668
2020-03-09,4.008911306829982,train,3.167501,train,3.0767847881918096,train,1.7010586,train,2.6061311708811
