Fecha,Vol. Futuros,typeLSTM,LSTM,typeRandomForest,RandomForest,typeXGBoost,XGBoost,typeELM,ELM
2020-01-01,1.2899457760904345,,,,,,,,
2020-01-02,0.7350455366085377,,,,,,,,
2020-01-03,0.5918344361205096,,,,,,,,
2020-01-04,1.367154258393283,,,,,,,,
2020-01-05,1.505321285893915,,,,,,,,
2020-01-06,0.5081280687581757,,,,,,,,
2020-01-07,0.2044572374476228,,,,,,,,
2020-01-08,2.69111665334746,,,,,,,,
2020-01-09,1.5222281247718752,,,,,,,,
2020-01-10,1.3542314451934303,,,,,,,,
2020-01-11,0.4681859701626271,,,,,,,,
2020-01-12,1.9493140031636056,,,,,,,,
2020-01-13,1.3516828116199882,,,,,,,,
2020-01-14,0.3050775955205447,,,,,,,,
2020-01-15,0.5235614053945052,,,,,,,,
2020-01-16,1.1881327886752675,train,1.0028374,train,0.9948677822902664,train,1.3353451,train,1.2683029242953074
2020-01-17,0.7107981947794908,train,1.1047382,train,0.8082356324209526,train,1.3353451,train,0.8749975006995419
2020-01-18,0.2995874402042159,train,1.1061292,train,0.4284357791162603,train,1.3353451,train,1.1637730646703293
2020-01-19,0.1299080621834803,train,1.100091,train,0.352430921211347,train,1.3353451,train,1.2275190273212493
2020-01-20,0.1611754499106269,train,1.0807151,train,0.3495824295092307,train,1.3353451,train,1.1911838458003363
2020-01-21,0.3950001102797744,train,1.1868676,train,0.5158036931673868,train,1.3353451,train,1.1301791670628425
2020-01-22,0.0450349028102233,train,1.2469603,train,0.4904346676054638,train,1.3189405,train,1.018406730447391
2020-01-23,1.4311514393255726,train,1.2741518,train,1.2926659216585112,train,1.3353451,train,0.9650955913487668
2020-01-24,2.1998642457237776,train,1.5103912,train,1.8014490698300227,train,1.3353451,train,1.1533478129424342
2020-01-25,1.904046571174338,train,1.6616724,train,1.570523636688702,train,1.440704,train,1.1118548554747452
2020-01-26,0.797569047456087,train,1.6672106,train,1.030833746703543,train,1.3353451,train,1.3131751198294026
2020-01-27,0.5743405330303827,train,1.4817067,train,0.7185345300356991,train,1.3353451,train,1.1769525940419585
2020-01-28,1.4647084440734763,train,1.4902762,train,1.3946548910152294,train,1.3353451,train,1.1449266828772156
2020-01-29,2.897353803515561,train,1.5065004,train,2.241422914138088,train,1.3353451,train,1.3671510389019628
2020-01-30,0.5404090774011734,train,1.6745974,train,1.0584954572206446,train,1.5066779,train,1.3850835149741574
2020-01-31,1.1266344983100531,train,1.3900334,train,1.009425652794679,train,1.3353451,train,1.234135126811736
2020-02-01,0.949190543424825,train,1.3088423,train,1.0395939882558538,train,1.3353451,train,1.4836605975396675
2020-02-02,2.2841217784914933,train,1.1729945,train,2.065040017940231,train,1.5543337,train,1.4771703824763134
2020-02-03,1.5045470709314714,train,1.3404597,train,1.5793750011965766,train,1.5066779,train,1.35618707040654
2020-02-04,0.2550371186005288,train,1.1962149,train,0.5914803736359272,train,1.3353451,train,1.348630511783666
2020-02-05,0.4083721856994941,train,0.9682448,train,0.8288196030786397,train,1.3189405,train,1.2798205110343028
2020-02-06,0.4083721856995077,train,0.91910946,train,0.8533929039408779,train,1.3189405,train,1.3972289029756078
2020-02-07,0.2035624112597794,train,0.85960966,train,0.4696749247635761,train,1.3353451,train,0.7924489113763262
2020-02-08,0.4964518092232793,train,0.7664919,train,0.6612034147495176,train,1.3353451,train,1.060178465928781
2020-02-09,0.7667193305619916,train,0.873945,train,0.9526986477435082,train,1.3189405,train,1.3039401802670418
2020-02-10,0.7001438734968917,train,0.96426743,train,0.7007881733761234,train,1.3353451,train,1.1082493259532422
2020-02-11,0.1992032531240576,train,1.0525757,train,0.4582779800613961,train,1.3353451,train,1.0248376846327265
2020-02-12,0.1491424586670119,train,1.0861773,train,0.7173638471402337,train,1.3353451,train,0.8995162233183257
2020-02-13,3.7059335916774248,train,1.2294563,train,2.570632906316904,train,1.3353451,train,1.292561014544016
2020-02-14,4.35564048364502,train,1.6873592,train,3.731931123952096,train,3.4013426,train,1.7921207924597269
2020-02-15,1.1724009371212356,train,1.8360084,train,1.5495523050716271,train,1.4674804,train,1.5486368097318357
2020-02-16,1.2240897412521297,train,1.6258811,train,1.2915784515372242,train,1.3353451,train,1.3744866774651705
2020-02-17,1.8066111016514084,train,1.5128673,train,1.5836669977108748,train,1.3353451,train,1.5406515361527298
2020-02-18,0.5067535236575924,train,1.5503517,train,1.239212880291695,train,1.3353451,train,1.3609283216793615
2020-02-19,0.2343567981468269,train,1.4517553,train,1.1885413013687816,train,1.3353451,train,1.2316421501598136
2020-02-20,3.0420596700711853,train,1.4075403,train,2.5187233374488134,train,1.8926415,train,1.4482284972483486
2020-02-21,4.943345785517375,train,1.5751641,train,4.020367216657791,train,3.1815686,train,2.0952302026602254
2020-02-22,1.571832626950776,train,1.6990689,train,2.2253172112674937,train,1.749198,train,1.949547291309108
2020-02-23,2.24620381678938,train,1.4094238,train,1.769554711507002,train,1.3353451,train,1.7449440845119732
2020-02-24,2.073182317480946,train,1.3426638,train,1.6443331118803368,train,1.6124749,train,2.493422146447884
2020-02-25,1.1267724846342289,train,1.2802492,train,1.3798324277721428,train,1.440704,train,1.8886861843911105
2020-02-26,1.8501915385321988,train,1.0593488,train,1.757753542287205,train,1.3353451,train,1.193213561600533
2020-02-27,0.8283526426643875,train,1.3383006,train,1.0340796242030097,train,1.3189405,train,1.475441886929044
2020-02-28,1.7407677316253023,train,1.4063554,train,1.6116930202060578,train,1.8926415,train,1.0592130988880732
2020-02-29,0.4069836621173391,train,1.8788548,train,0.8312375849731308,train,1.3353451,train,1.5730143272716617
2020-03-01,0.2639822201410393,train,2.08299,train,0.5896036237715108,train,1.3353451,train,1.868065904446106
2020-03-02,3.3785306752695474,train,2.597154,train,2.183505928391405,train,1.599406,train,2.583487515847177
2020-03-03,5.431967408015392,train,3.7157216,train,4.241076216586017,train,4.1068435,train,3.2843404118795494
2020-03-04,3.274851843026279,train,4.2688155,train,2.9604710594757533,train,2.8433342,train,2.9599274552257637
2020-03-05,6.43393661231856,train,3.9178686,train,4.086569931820536,train,4.1068435,train,3.3874017807765124
2020-03-06,3.945742755845812,train,3.9724045,train,3.6270602477218734,train,3.103222,train,3.085181740376325
2020-03-07,1.7091587710159044,train,3.1829414,train,1.990310889414224,train,1.9067653,train,2.0771546333000317
2020-03-08,0.8233164760327127,train,2.578842,train,0.9425898033019002,train,1.4229618,train,2.1190304909454056
2020-03-09,4.008911306829982,train,2.5657687,train,2.963495506950922,train,2.6511304,train,2.5451812184050207
2020-03-10,4.749996838368508,train,3.156613,train,3.4364317074565625,train,3.270526,train,2.767577298306178
2020-03-11,2.3916108895772603,train,2.412067,train,3.1898559630037817,train,2.1730342,train,2.7471168605098883
2020-03-12,2.17498378825885,train,2.27202,train,2.0078217570189825,train,2.1992946,train,2.916636325593241
