"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"06.07.2022","219,20","222,20","223,95","218,30","15,30K","-0,84%"
"05.07.2022","221,05","224,50","225,90","220,15","15,31K","-3,24%"
"01.07.2022","228,45","232,85","232,85","227,90","0,07K","-0,72%"
"30.06.2022","230,10","227,85","231,65","227,85","14,05K","0,81%"
"29.06.2022","228,25","218,00","230,20","217,55","26,70K","4,82%"
"28.06.2022","217,75","223,45","224,35","217,10","16,94K","-1,96%"
"27.06.2022","222,10","223,45","226,00","220,10","15,60K","-1,99%"
"24.06.2022","226,60","231,25","234,45","226,00","0,14K","-1,05%"
"23.06.2022","229,00","235,55","236,25","228,10","16,82K","-3,13%"
"22.06.2022","236,40","231,25","237,10","230,40","13,14K","1,74%"
"21.06.2022","232,35","227,60","235,25","227,40","30,34K","2,06%"
"17.06.2022","227,65","232,70","234,50","226,80","9,11K","-1,85%"
"16.06.2022","231,95","228,50","233,00","226,20","5,59K","1,51%"
"15.06.2022","228,50","225,85","229,70","221,75","9,19K","0,68%"
"14.06.2022","226,95","224,25","229,25","222,90","12,87K","1,61%"
"13.06.2022","223,35","226,80","227,85","218,90","22,84K","-2,42%"
"10.06.2022","228,90","234,00","235,45","227,80","38,91K","-2,45%"
"09.06.2022","234,65","231,25","235,70","230,30","23,01K","1,21%"
"08.06.2022","231,85","233,00","234,60","229,85","21,82K","-0,13%"
"07.06.2022","232,15","235,40","238,65","230,75","28,72K","-2,27%"
"06.06.2022","237,55","233,60","240,45","232,85","27,69K","2,22%"
"03.06.2022","232,40","236,15","240,00","231,45","19,09K","-2,46%"
"02.06.2022","238,25","239,45","242,00","236,95","19,68K","-0,50%"
"01.06.2022","239,45","232,05","240,65","232,05","30,34K","3,55%"
"31.05.2022","231,25","228,30","233,80","223,85","25,58K","0,78%"
"27.05.2022","229,45","225,10","229,90","224,20","14,25K","1,26%"
"26.05.2022","226,60","216,85","227,30","216,50","20,95K","4,40%"
"25.05.2022","217,05","213,20","218,30","212,25","17,43K","1,59%"
"24.05.2022","213,65","215,25","215,60","211,00","15,18K","-0,97%"
"23.05.2022","215,75","216,85","217,70","214,75","12,02K","-0,05%"
"20.05.2022","215,85","221,90","223,30","214,30","14,56K","-1,30%"
"19.05.2022","218,70","218,00","219,40","213,20","14,52K","0,51%"
"18.05.2022","217,60","226,50","226,50","215,75","18,11K","-4,23%"
"17.05.2022","227,20","224,00","229,35","220,55","18,76K","0,62%"
"16.05.2022","225,80","224,00","224,00","223,50","0,01K","6,06%"
"13.05.2022","212,90","215,90","216,85","209,65","19,97K","-1,11%"
"12.05.2022","215,30","217,90","218,50","212,55","18,99K","-2,09%"
"11.05.2022","219,90","204,05","220,45","204,05","29,97K","7,90%"
"10.05.2022","203,80","207,10","207,80","202,30","16,18K","-1,12%"
"09.05.2022","206,10","210,00","212,00","203,35","23,74K","-2,07%"
"06.05.2022","210,45","216,30","216,50","210,00","25,90K","-3,13%"
"05.05.2022","217,25","221,00","222,90","216,10","14,91K","-1,61%"
"04.05.2022","220,80","218,30","221,75","217,90","14,53K","1,31%"
"03.05.2022","217,95","216,90","220,80","215,40","14,44K","0,73%"
"02.05.2022","216,38","220,45","220,70","214,75","-","-2,77%"
"29.04.2022","222,55","217,90","224,40","217,80","14,48K","2,27%"
"28.04.2022","217,60","216,30","218,15","214,25","14,57K","0,89%"
"27.04.2022","215,68","219,88","222,38","214,58","-","-2,47%"
"26.04.2022","221,15","221,45","223,35","219,10","12,53K","0,16%"
"25.04.2022","220,80","226,40","226,40","221,20","0,04K","-2,86%"
"22.04.2022","227,30","227,50","229,65","226,00","0,07K","-0,35%"
"21.04.2022","228,10","220,50","228,90","217,60","19,22K","3,94%"
"20.04.2022","219,45","221,95","223,40","218,65","20,82K","-1,01%"
"19.04.2022","221,70","223,35","225,15","220,10","22,40K","-0,92%"
"18.04.2022","223,75","223,75","225,75","220,15","15,14K","0,07%"
"14.04.2022","223,60","225,85","227,70","221,00","15,62K","-0,64%"
"13.04.2022","225,05","233,85","235,00","224,65","25,95K","-3,66%"
"12.04.2022","233,60","237,40","237,75","232,75","19,66K","-1,27%"
"11.04.2022","236,60","231,65","237,60","230,95","28,21K","2,14%"
"08.04.2022","231,65","225,15","233,00","224,80","34,34K","2,43%"
"07.04.2022","226,15","229,20","230,25","224,20","29,01K","-0,64%"
"06.04.2022","227,60","230,95","231,55","225,00","30,56K","-1,60%"
"05.04.2022","231,30","231,70","232,25","228,80","20,02K","0,30%"
"04.04.2022","230,60","227,80","231,85","226,25","20,02K","0,96%"
"01.04.2022","228,40","226,00","230,40","224,80","13,42K","0,88%"
"31.03.2022","226,40","222,05","227,65","220,15","18,05K","2,05%"
"30.03.2022","221,85","215,55","223,20","213,10","16,24K","2,85%"
"29.03.2022","215,70","215,25","217,40","214,00","12,36K","0,54%"
"28.03.2022","214,55","221,75","222,95","212,50","23,42K","-3,29%"
"25.03.2022","221,85","222,95","223,20","219,40","9,39K","0,00%"
"24.03.2022","221,85","225,70","227,10","220,55","11,84K","-1,53%"
"23.03.2022","225,30","224,20","228,65","223,20","13,00K","0,11%"
"22.03.2022","225,05","224,90","227,85","223,30","14,17K","-0,35%"
"21.03.2022","225,85","222,65","222,65","222,65","0,03K","2,52%"
"18.03.2022","220,30","215,85","220,90","214,38","-","1,38%"
"17.03.2022","217,30","216,00","218,00","216,00","0,01K","-0,59%"
"16.03.2022","218,60","214,30","214,30","211,30","0,01K","2,97%"
"15.03.2022","212,30","211,50","211,50","211,50","0,01K","-3,35%"
"14.03.2022","219,65","220,50","224,05","218,80","0,03K","-1,48%"
"11.03.2022","222,95","224,38","225,40","221,23","-","-1,00%"
"10.03.2022","225,20","230,00","230,00","223,85","0,01K","-2,28%"
"09.03.2022","230,45","235,20","235,55","227,75","-","-1,54%"
"08.03.2022","234,05","223,20","233,40","223,20","0,01K","3,79%"
"07.03.2022","225,50","226,35","229,55","225,20","0,01K","0,60%"
"04.03.2022","224,15","224,25","224,90","223,40","0,01K","0,00%"
"03.03.2022","224,15","231,55","231,55","224,00","0,01K","-2,73%"
"02.03.2022","230,45","235,00","235,00","229,00","0,01K","-2,87%"
"01.03.2022","237,25","236,95","236,95","236,00","0,00K","1,28%"
"28.02.2022","234,25","239,50","239,50","233,95","0,01K","-2,42%"
"25.02.2022","240,05","243,35","243,35","239,50","0,03K","0,29%"
"24.02.2022","239,35","248,50","248,50","238,95","0,05K","-3,72%"
"23.02.2022","248,60","249,50","252,75","248,40","0,03K","0,06%"
"22.02.2022","248,45","246,70","249,10","244,00","0,06K","0,65%"
"18.02.2022","246,85","252,35","252,35","244,30","0,10K","-1,85%"
"17.02.2022","251,50","252,20","253,60","248,95","1,15K","-0,30%"
"16.02.2022","252,25","253,00","254,55","250,05","16,71K","0,16%"
"15.02.2022","251,85","249,45","252,20","246,95","15,14K","1,74%"
"14.02.2022","247,55","251,25","253,90","244,80","16,81K","-1,63%"
"11.02.2022","251,65","254,60","256,80","250,85","24,39K","-1,39%"
"10.02.2022","255,20","259,10","260,45","253,65","30,10K","-1,22%"
"09.02.2022","258,35","248,30","259,50","247,90","45,25K","3,78%"
