Fecha,Vol. Futuros,PI,MHI,FNI,SI
2020-01-01,1.2899457760904345,0.0,0.0,0.0,0.0
2020-01-02,0.7350455366085377,0.0,0.0,0.0,0.0
2020-01-03,0.5918344361205096,0.0,0.0,0.0,0.0
2020-01-04,1.367154258393283,0.0,0.0,0.0,0.0
2020-01-05,1.505321285893915,0.0,0.0,0.0,0.0
2020-01-06,0.5081280687581757,0.0,0.0,0.0,0.0
2020-01-07,0.2044572374476228,0.0,0.0,0.0,0.0
2020-01-08,2.6911166533474598,0.0,0.0,0.0,0.0
2020-01-09,1.5222281247718752,0.0,0.0,0.0,0.0
2020-01-10,1.3542314451934303,0.14,0.14,0.0,0.0
2020-01-11,0.4681859701626271,0.0,0.0,0.0,0.0
2020-01-12,1.9493140031636056,0.0,0.0,0.0,0.0
2020-01-13,1.3516828116199882,0.0,0.0,0.0,0.0
2020-01-14,0.3050775955205447,0.0,0.0,0.0,0.0
2020-01-15,0.5235614053945052,0.0,0.0,0.0,0.0
2020-01-16,1.1881327886752675,0.0,0.0,0.0,0.0
2020-01-17,0.7107981947794908,0.0,0.0,0.0,0.0
2020-01-18,0.2995874402042159,0.0,0.0,0.0,0.0
2020-01-19,0.1299080621834803,0.0,0.45,0.0,0.0
2020-01-20,0.1611754499106269,0.0,0.0,0.0,0.0
2020-01-21,0.3950001102797744,0.15,2.2,0.0,0.0
2020-01-22,0.0450349028102233,0.0,1.83,0.0,0.0
2020-01-23,1.4311514393255726,0.0,1.47,0.0,0.0
2020-01-24,2.1998642457237776,0.14,1.87,0.0,-2.97
2020-01-25,1.904046571174338,1.12,2.08,0.48,-3.2
2020-01-26,0.797569047456087,1.14,1.14,0.0,-3.47
2020-01-27,0.5743405330303827,0.61,3.07,0.0,-3.18
2020-01-28,1.4647084440734763,0.0,2.23,0.0,-2.75
2020-01-29,2.897353803515561,0.0,1.62,0.0,-3.98
2020-01-30,0.5404090774011734,0.13,1.74,0.0,-2.41
2020-01-31,1.1266344983100531,0.86,3.85,0.11,-1.42
2020-02-01,0.949190543424825,0.81,4.73,0.14,-1.42
2020-02-02,2.2841217784914933,1.09,4.38,0.0,-1.2
2020-02-03,1.5045470709314714,0.62,3.11,0.62,-1.45
2020-02-04,0.2550371186005288,0.16,5.54,0.16,-1.28
2020-02-05,0.4083721856994941,0.65,6.27,0.22,-1.29
2020-02-06,0.4083721856995077,1.38,6.7,0.0,0.02
2020-02-07,0.2035624112597794,0.67,5.45,0.0,1.86
2020-02-08,0.4964518092232793,2.02,6.49,0.0,1.51
2020-02-09,0.7667193305619916,0.53,6.95,0.53,1.55
2020-02-10,0.7001438734968917,1.08,10.75,0.0,1.64
2020-02-11,0.1992032531240576,0.77,7.4,0.0,-0.93
2020-02-12,0.1491424586670119,0.26,7.33,0.0,1.27
2020-02-13,3.7059335916774248,1.02,2.79,0.0,-1.05
2020-02-14,4.35564048364502,0.23,3.5,0.0,-1.35
2020-02-15,1.1724009371212356,0.28,9.07,1.12,-1.44
2020-02-16,1.2240897412521297,0.81,4.07,0.0,-2.83
2020-02-17,1.8066111016514084,1.49,4.46,0.5,-2.96
2020-02-18,0.5067535236575924,1.92,4.61,0.0,1.37
2020-02-19,0.2343567981468269,0.61,9.78,0.0,-4.3
2020-02-20,3.0420596700711853,0.57,7.18,0.0,-2.86
2020-02-21,4.943345785517375,0.37,3.59,0.0,-0.96
2020-02-22,1.571832626950776,0.49,5.87,0.0,0.65
2020-02-23,2.24620381678938,0.5,1.99,0.0,1.01
2020-02-24,2.073182317480946,1.77,2.65,0.0,2.9
2020-02-25,1.1267724846342289,0.42,3.06,0.0,3.0
2020-02-26,1.8501915385321988,0.14,2.75,0.0,0.98
2020-02-27,0.8283526426643875,5.68,10.25,0.25,-1.01
2020-02-28,1.7407677316253023,6.32,13.34,0.1,-2.87
2020-02-29,0.4069836621173391,7.28,13.76,0.0,-2.12
2020-03-01,0.2639822201410393,6.07,10.93,3.64,-2.06
2020-03-02,3.3785306752695474,1.53,10.71,0.51,-2.27
2020-03-03,5.431967408015392,2.38,15.4,0.63,-0.94
2020-03-04,3.274851843026279,0.84,18.04,0.11,2.24
2020-03-05,6.43393661231856,1.86,13.71,0.55,2.3
2020-03-06,3.945742755845812,0.89,13.13,0.22,-0.35
2020-03-07,1.7091587710159044,2.76,22.62,0.14,-1.08
2020-03-08,0.8233164760327127,4.38,56.68,0.92,-1.82
2020-03-09,4.008911306829982,2.23,56.19,1.24,-1.8
2020-03-10,4.749996838368508,4.24,29.01,0.13,-1.96
2020-03-11,2.3916108895772603,4.66,23.91,0.15,-7.62
2020-03-12,2.17498378825885,1.65,31.32,0.0,-6.56
2020-03-13,1.9427067960261155,11.69,44.43,0.19,-3.77
2020-03-14,1.1161971158534345,11.15,56.76,1.24,-4.4
2020-03-15,0.6741892823474449,26.37,85.41,2.49,-7.51
2020-03-16,1.1963252948501308,34.32,76.3,2.72,-3.37
2020-03-17,0.967125526517775,11.95,50.18,2.39,-2.15
2020-03-18,4.883644011289098,4.43,67.5,1.09,2.26
2020-03-19,7.658391551454409,6.56,52.36,0.61,-3.25
2020-03-20,2.581061409648843,5.19,61.62,1.04,2.94
2020-03-21,0.1341637271150786,13.63,60.28,0.85,1.01
2020-03-22,0.0565309975216359,6.63,75.45,9.14,-1.03
2020-03-23,1.20895899577306,11.75,93.77,1.88,-6.58
2020-03-24,3.524772421650577,12.67,71.14,1.17,-11.44
2020-03-25,3.4047507053401,10.62,61.61,0.85,-14.87
2020-03-26,4.163995111793222,5.09,51.76,1.33,-10.92
2020-03-27,7.321355909118174,5.86,49.44,1.03,-12.73
2020-03-28,2.254793138616029,5.17,49.75,0.3,-8.07
