Fecha,Futuros,Precio Interno ($/125 Kg),TRM
2022-07-06,219.2,2302000.0,4259.86
2022-07-05,221.05,2280000.0,4198.77
2022-07-04,,2270000.0,4198.77
2022-07-03,,2270000.0,4198.77
2022-07-02,,2270000.0,4198.77
2022-07-01,228.45,2270000.0,4151.21
2022-06-30,230.1,2289000.0,4127.47
2022-06-29,228.25,2255000.0,4089.72
2022-06-28,217.75,2155000.0,4129.87
2022-06-27,222.1,2215000.0,4129.87
2022-06-26,,2228000.0,4129.87
2022-06-25,,2228000.0,4129.87
2022-06-24,226.6,2228000.0,4068.75
2022-06-23,229.0,2256000.0,4026.52
2022-06-22,236.4,2273000.0,4026.92
2022-06-21,232.35,2240000.0,3905.05
2022-06-20,,2135000.0,3905.05
2022-06-19,,2135000.0,3905.05
2022-06-18,,2135000.0,3905.05
2022-06-17,227.65,2135000.0,3912.15
2022-06-16,231.95,2167000.0,3923.96
2022-06-15,228.5,2140000.0,3979.3
2022-06-14,226.95,2165000.0,4016.5
2022-06-13,223.35,2136000.0,3912.51
2022-06-12,,2165000.0,3912.51
2022-06-11,,2165000.0,3912.51
2022-06-10,228.9,2165000.0,3833.34
2022-06-09,234.65,2162000.0,3782.65
2022-06-08,231.85,2114000.0,3790.88
2022-06-07,232.15,2105000.0,3799.5
2022-06-06,237.55,2150000.0,3771.63
2022-06-05,,2110000.0,3771.63
2022-06-04,,2110000.0,3771.63
2022-06-03,232.4,2110000.0,3784.98
2022-06-02,238.25,2135000.0,3791.74
2022-06-01,239.45,2161000.0,3776.52
2022-05-31,231.25,2080000.0,3912.34
2022-05-30,,2155000.0,3912.34
2022-05-29,,2155000.0,3912.34
2022-05-28,,2155000.0,3912.34
2022-05-27,229.45,2155000.0,3930.89
2022-05-26,226.6,2123000.0,3959.05
2022-05-25,217.05,2055000.0,3971.28
2022-05-24,213.65,2047000.0,3950.35
2022-05-23,215.75,2065000.0,3989.84
2022-05-22,,2060000.0,3989.84
2022-05-21,,2060000.0,3989.84
