Fecha,PANIC_INDEX,MEDIA_HYPE_INDEX,FAKE_NEWS_INDEX,SENTIMENT_INDEX,Futuros,Precio Interno ($/125 Kg),TRM
2022-07-06,0.52,27.93,0.0,-7.87,219.2,2302000.0,4259.86
2022-07-05,0.48,38.21,0.12,-4.97,221.05,2280000.0,4198.77
2022-07-04,0.54,31.37,0.27,-5.85,,2270000.0,4198.77
2022-07-03,0.42,7.76,0.0,-3.67,,2270000.0,4198.77
2022-07-02,4.66,25.71,0.19,-3.56,,2270000.0,4198.77
2022-07-01,0.65,46.0,0.16,-2.25,228.45,2270000.0,4151.21
2022-06-30,0.44,29.16,0.04,-2.25,230.1,2289000.0,4127.47
2022-06-29,0.35,17.75,0.02,-1.37,228.25,2255000.0,4089.72
2022-06-28,0.22,22.21,0.0,-0.14,217.75,2155000.0,4129.87
2022-06-27,0.37,2.22,0.37,-0.74,222.1,2215000.0,4129.87
2022-06-26,0.26,8.14,0.13,0.69,,2228000.0,4129.87
2022-06-25,1.09,33.33,1.13,2.72,,2228000.0,4129.87
2022-06-24,0.5,29.3,0.21,3.78,226.6,2228000.0,4068.75
2022-06-23,0.35,33.38,0.05,9.34,229.0,2256000.0,4026.52
2022-06-22,5.95,29.3,1.25,9.24,236.4,2273000.0,4026.92
2022-06-21,0.82,26.7,0.35,7.33,232.35,2240000.0,3905.05
2022-06-20,3.37,8.89,0.58,6.39,,2135000.0,3905.05
2022-06-19,5.94,16.2,0.0,7.84,,2135000.0,3905.05
2022-06-18,1.07,29.82,0.14,3.82,,2135000.0,3905.05
2022-06-17,0.08,19.75,0.05,1.49,227.65,2135000.0,3912.15
2022-06-16,0.68,26.5,0.14,0.81,231.95,2167000.0,3923.96
2022-06-15,0.4,32.5,0.09,0.56,228.5,2140000.0,3979.3
2022-06-14,0.52,29.23,0.0,0.41,226.95,2165000.0,4016.5
2022-06-13,0.3,17.37,0.15,-7.69,223.35,2136000.0,3912.51
2022-06-12,0.0,8.93,0.0,-7.64,,2165000.0,3912.51
2022-06-11,0.41,17.71,0.03,-6.3,,2165000.0,3912.51
2022-06-10,0.31,29.48,0.03,-5.18,228.9,2165000.0,3833.34
2022-06-09,0.48,39.55,0.03,-0.67,234.65,2162000.0,3782.65
2022-06-08,0.17,22.13,0.04,5.75,231.85,2114000.0,3790.88
2022-06-07,1.28,23.13,0.05,5.52,232.15,2105000.0,3799.5
2022-06-06,0.19,11.8,0.0,17.22,237.55,2150000.0,3771.63
2022-06-05,0.65,7.39,0.14,12.54,,2110000.0,3771.63
2022-06-04,1.19,26.99,0.45,10.49,,2110000.0,3771.63
2022-06-03,0.55,29.34,0.07,-0.12,232.4,2110000.0,3784.98
2022-06-02,1.85,26.63,0.05,-0.02,238.25,2135000.0,3791.74
2022-06-01,0.59,25.68,0.1,-8.98,239.45,2161000.0,3776.52
2022-05-31,0.26,19.6,0.23,-8.6,231.25,2080000.0,3912.34
2022-05-30,0.14,43.74,0.0,-10.11,,2155000.0,3912.34
2022-05-29,12.77,28.82,0.47,-10.26,,2155000.0,3912.34
2022-05-28,1.12,37.28,0.17,-8.01,,2155000.0,3912.34
2022-05-27,1.23,25.38,0.0,-6.21,229.45,2155000.0,3930.89
2022-05-26,0.78,28.18,0.18,-7.36,226.6,2123000.0,3959.05
2022-05-25,0.87,23.87,0.34,-6.57,217.05,2055000.0,3971.28
2022-05-24,1.25,52.07,0.43,-4.95,213.65,2047000.0,3950.35
2022-05-23,1.08,8.66,0.22,-1.19,215.75,2065000.0,3989.84
2022-05-22,0.91,22.4,0.36,-1.22,,2060000.0,3989.84
2022-05-21,0.3,34.74,0.09,-3.34,,2060000.0,3989.84
2022-05-20,0.26,33.64,0.17,0.57,215.85,2060000.0,4050.88
2022-05-19,0.17,25.29,0.04,-0.3,218.7,2125000.0,4054.71
2022-05-18,0.78,28.35,0.04,-0.49,217.6,2125000.0,4033.85
2022-05-17,1.04,29.29,1.11,-0.51,227.2,2179000.0,4070.25
2022-05-16,0.84,11.22,1.01,-0.05,225.8,2170000.0,4110.53
2022-05-15,1.41,13.17,0.11,-0.17,,2107000.0,4110.53
2022-05-14,0.11,36.65,0.11,-0.17,,2107000.0,4110.53
2022-05-13,1.26,31.48,0.15,0.9,212.9,2107000.0,4109.71
2022-05-12,0.22,19.69,0.04,1.9,215.3,2118000.0,4080.32
2022-05-11,0.43,20.75,0.0,-1.66,219.9,2143000.0,4086.71
2022-05-10,0.24,25.73,0.3,0.14,203.8,2005000.0,4085.76
2022-05-09,0.17,8.23,0.34,0.85,206.1,2030000.0,4053.93
2022-05-08,0.12,13.16,0.0,0.99,,2050000.0,4053.93
2022-05-07,0.24,16.44,0.12,-2.73,,2050000.0,4053.93
2022-05-06,1.12,13.69,0.06,-9.93,210.45,2050000.0,4086.08
2022-05-05,9.06,32.7,0.0,-12.54,217.25,2121000.0,4056.41
2022-05-04,0.14,29.67,0.14,-7.86,220.8,2142000.0,4016.34
2022-05-03,0.54,23.18,0.0,-11.51,217.95,2098000.0,4004.07
2022-05-02,1.06,6.9,0.53,-21.39,216.38,2070000.0,3966.27
2022-05-01,1.14,22.24,0.0,-24.58,,2090000.0,3966.27
2022-04-30,0.28,32.83,0.16,-15.15,,2090000.0,3966.27
2022-04-29,4.52,24.21,0.18,-8.72,222.55,2090000.0,3984.77
2022-04-28,0.38,21.05,0.21,-9.81,217.6,2063000.0,3967.32
2022-04-27,1.21,29.9,0.12,-6.58,215.68,2030000.0,3947.63
2022-04-26,1.67,51.38,0.07,-8.75,221.15,2070000.0,3931.74
2022-04-25,0.19,8.79,0.0,-8.24,220.8,2060000.0,3819.07
2022-04-24,0.65,21.68,1.62,-7.72,,2070000.0,3819.07
2022-04-23,0.44,28.21,0.13,-7.6,,2070000.0,3819.07
2022-04-22,1.03,25.82,0.05,-7.45,227.3,2070000.0,3759.54
