,TIMESTAMP_UTC,COUNTRY_CODE,COUNTRY_NAME,TOTAL_CASES,CASES_DAILY,TOTAL_RECOVERED,RECOVERED_DAILY,TOTAL_DEATHS,DEATHS_DAILY,PANIC_INDEX,MEDIA_HYPE_INDEX,FAKE_NEWS_INDEX,SENTIMENT_INDEX,INFODEMIC_INDEX,MEDIA_COVERAGE_INDEX
18,2022-07-06 00:00:00.000,CO,Colombia,6175181.0,0.0,5984546.0,0.0,140070.0,0.0,0.52,27.93,,-7.87,18.82,26.03
233,2022-07-05 00:00:00.000,CO,Colombia,6175181.0,0.0,5984546.0,0.0,140070.0,0.0,0.48,38.21,0.12,-4.97,36.0,24.64
448,2022-07-04 00:00:00.000,CO,Colombia,6175181.0,0.0,5984546.0,0.0,140070.0,0.0,0.54,31.37,0.27,-5.85,8.6,43.04
663,2022-07-03 00:00:00.000,CO,Colombia,6175181.0,0.0,5984546.0,0.0,140070.0,0.0,0.42,7.76,,-3.67,19.3,11.69
878,2022-07-02 00:00:00.000,CO,Colombia,6175181.0,0.0,5984546.0,0.0,140070.0,0.0,4.66,25.71,0.19,-3.56,20.43,30.21
1093,2022-07-01 00:00:00.000,CO,Colombia,6175181.0,0.0,5984546.0,0.0,140070.0,0.0,0.65,46.0,0.16,-2.25,22.64,38.35
1308,2022-06-30 00:00:00.000,CO,Colombia,6175181.0,23827.0,5985161.0,23118.0,140070.0,100.0,0.44,29.16,0.04,-2.25,26.47,18.47
1523,2022-06-29 00:00:00.000,CO,Colombia,6151354.0,0.0,5962043.0,0.0,139970.0,0.0,0.35,17.75,0.02,-1.37,25.24,16.91
1738,2022-06-28 00:00:00.000,CO,Colombia,6151354.0,0.0,5962650.0,0.0,139970.0,0.0,0.22,22.21,,-0.14,18.89,18.56
1953,2022-06-27 00:00:00.000,CO,Colombia,6151354.0,0.0,5963259.0,0.0,139970.0,0.0,0.37,2.22,0.37,-0.74,20.75,3.63
2168,2022-06-26 00:00:00.000,CO,Colombia,6151354.0,0.0,5963868.0,0.0,139970.0,0.0,0.26,8.14,0.13,0.69,17.57,5.79
2383,2022-06-25 00:00:00.000,CO,Colombia,6151354.0,0.0,5964475.0,0.0,139970.0,0.0,1.09,33.33,1.13,2.72,29.89,22.66
2598,2022-06-24 00:00:00.000,CO,Colombia,6151354.0,0.0,5965083.0,0.0,139970.0,0.0,0.5,29.3,0.21,3.78,22.37,20.81
2813,2022-06-23 00:00:00.000,CO,Colombia,6151354.0,19697.0,5966052.0,18677.0,139970.0,52.0,0.35,33.38,0.05,9.34,32.26,30.3
3028,2022-06-22 00:00:00.000,CO,Colombia,6131657.0,0.0,5947375.0,0.0,139918.0,0.0,5.95,29.3,1.25,9.24,26.53,20.32
3243,2022-06-21 00:00:00.000,CO,Colombia,6131657.0,0.0,5948343.0,0.0,139918.0,0.0,0.82,26.7,0.35,7.33,31.25,30.57
3458,2022-06-20 00:00:00.000,CO,Colombia,6131657.0,0.0,5949311.0,0.0,139918.0,0.0,3.37,8.89,0.58,6.39,33.82,11.29
3673,2022-06-19 00:00:00.000,CO,Colombia,6131657.0,0.0,5950278.0,0.0,139918.0,0.0,5.94,16.2,,7.84,25.93,21.06
3888,2022-06-18 00:00:00.000,CO,Colombia,6131657.0,0.0,5951245.0,0.0,139918.0,0.0,1.07,29.82,0.14,3.82,29.03,14.48
4103,2022-06-17 00:00:00.000,CO,Colombia,6131657.0,0.0,5952212.0,0.0,139918.0,0.0,0.08,19.75,0.05,1.49,22.99,23.52
4318,2022-06-16 00:00:00.000,CO,Colombia,6131657.0,13810.0,5952998.0,13000.0,139918.0,24.0,0.68,26.5,0.14,0.81,28.72,24.74
4533,2022-06-15 00:00:00.000,CO,Colombia,6117847.0,0.0,5939998.0,0.0,139894.0,0.0,0.4,32.5,0.09,0.56,22.99,35.23
4748,2022-06-14 00:00:00.000,CO,Colombia,6117847.0,0.0,5940784.0,0.0,139894.0,0.0,0.52,29.23,,0.41,28.74,36.24
4963,2022-06-13 00:00:00.000,CO,Colombia,6117847.0,0.0,5941569.0,0.0,139894.0,0.0,0.3,17.37,0.15,-7.69,23.53,30.5
5178,2022-06-12 00:00:00.000,CO,Colombia,6117847.0,0.0,5942355.0,0.0,139894.0,0.0,,8.93,,-7.64,24.07,9.51
5393,2022-06-11 00:00:00.000,CO,Colombia,6117847.0,0.0,5943140.0,0.0,139894.0,0.0,0.41,17.71,0.03,-6.3,34.21,11.33
5608,2022-06-10 00:00:00.000,CO,Colombia,6117847.0,0.0,5943925.0,0.0,139894.0,0.0,0.31,29.48,0.03,-5.18,25.47,37.67
5823,2022-06-09 00:00:00.000,CO,Colombia,6117847.0,8742.0,5944465.0,8175.0,139894.0,27.0,0.48,39.55,0.03,-0.67,22.55,55.49
6038,2022-06-08 00:00:00.000,CO,Colombia,6109105.0,0.0,5936290.0,0.0,139867.0,0.0,0.17,22.13,0.04,5.75,23.61,17.94
6253,2022-06-07 00:00:00.000,CO,Colombia,6109105.0,0.0,5936830.0,0.0,139867.0,0.0,1.28,23.13,0.05,5.52,31.31,25.84
6468,2022-06-06 00:00:00.000,CO,Colombia,6109105.0,0.0,5937370.0,0.0,139867.0,0.0,0.19,11.8,,17.22,37.78,11.89
6683,2022-06-05 00:00:00.000,CO,Colombia,6109105.0,0.0,5937909.0,0.0,139867.0,0.0,0.65,7.39,0.14,12.54,31.03,7.52
6898,2022-06-04 00:00:00.000,CO,Colombia,6109105.0,0.0,5938448.0,101.0,139867.0,0.0,1.19,26.99,0.45,10.49,27.91,26.83
7113,2022-06-03 00:00:00.000,CO,Colombia,6109105.0,0.0,5938347.0,0.0,139867.0,0.0,0.55,29.34,0.07,-0.12,37.62,29.14
7328,2022-06-02 00:00:00.000,CO,Colombia,6109105.0,5650.0,5938603.0,5092.0,139867.0,13.0,1.85,26.63,0.05,-0.02,36.07,32.66
7543,2022-06-01 00:00:00.000,CO,Colombia,6103455.0,0.0,5933511.0,0.0,139854.0,0.0,0.59,25.68,0.1,-8.98,27.06,33.46
7758,2022-05-31 00:00:00.000,CO,Colombia,6103455.0,0.0,5933729.0,0.0,139854.0,0.0,0.26,19.6,0.23,-8.6,35.11,15.98
7973,2022-05-30 00:00:00.000,CO,Colombia,6103455.0,0.0,5933784.0,0.0,139854.0,0.0,0.14,43.74,,-10.11,37.88,49.77
8188,2022-05-29 00:00:00.000,CO,Colombia,6103455.0,0.0,5933900.0,0.0,139854.0,0.0,12.77,28.82,0.47,-10.26,27.42,38.38
8403,2022-05-28 00:00:00.000,CO,Colombia,6103455.0,0.0,5934002.0,0.0,139854.0,0.0,1.12,37.28,0.17,-8.01,34.91,47.34
